Date,Plot-250,Plot-300,Plot-350,Plot-400,Plot-450,Plot-500,Plot-550,Plot-600 ,Plot-650,Plot-700,Plot-750,Plot-800 ,Plot-850 ,Plot-900 ,Plot-950 ,Plot-1000 
2007-04-06,,22.307,,,,,,21.057,20.304,20.38,,,,,,
2007-04-07,,24.05,,,,,,22.338,21.607,21.903,,,,,,
2007-04-08,,23.706,,,,,,22.129,21.625,21.832,,,,,,
2007-04-09,,22.837,,,,,,21.382,20.927,21.336,,,,,,
2007-04-10,,22.773,,,,,,21.453,20.984,21.305,,,,,,
2007-04-11,,23.115,,,,,,21.318,20.903,21.059,,,,,,
2007-04-12,,23.822,,,,,,22.177,21.55,21.792,,,,,,
2007-04-13,,22.663,,,,,,21.16,20.828,21.116,,,,,,
2007-04-14,,23.198,,,,,,21.885,21.267,21.892,,,,,,
2007-04-15,,23.122,,,,,,21.264,20.864,21.31,,,,,,
2007-04-16,,23.285,,,,,,21.585,20.971,21.179,,,,,,
2007-04-17,,23.293,,,,,,21.875,21.347,21.731,,,,,,
2007-04-18,,21.49,,,,,,20.262,19.913,19.881,,,,,,
2007-04-19,,23.3,,,,,,21.9,21.344,21.689,,,,,,
2007-04-20,,25.093,,,,,,23.228,22.545,22.986,,,,,,
2007-04-21,,23.397,,,,,,21.956,21.565,21.619,,,,,,
2007-04-22,,22.084,,,,,,20.989,20.683,20.689,,,,,,
2007-04-23,,21.064,,,,,,19.845,19.381,19.191,,,,,,
2007-04-24,,21.362,,,,,,20.214,19.742,19.906,,,,,,
2007-04-25,,22.125,,,,,,21.263,20.616,21.228,,,,,,
2007-04-26,,21.769,,,,,,20.591,20.21,20.115,,,,,,
2007-04-27,,22.147,,,,,,20.806,20.468,20.337,,,,,,
2007-04-28,,22.507,,,,,,21.336,20.786,21.14,,,,,,
2007-04-29,,22.716,,,,,,21.489,20.942,21.368,,,,,,
2007-04-30,,21.968,,,,,,20.682,20.329,20.202,,,,,,
2007-05-01,,21.912,,,,,,20.738,20.384,20.278,,,,,,
2007-05-02,,22.244,,,,,,21.196,20.687,20.96,,,,,,
2007-05-03,,22.412,,,,,,21.25,20.532,21.104,,,,,,
2007-05-04,,23.048,,,,,,21.51,21.038,21.534,,,,,,
2007-05-05,,22.66,,,,,,20.911,20.568,20.921,,,,,,
2007-05-06,,23.134,,,,,,21.657,21.227,21.758,,,,,,
2007-05-07,,23.201,,,,,,21.755,21.347,21.899,,,,,,
2007-05-08,,23.614,,,,,,22.19,21.793,22.014,,,,,,
2007-05-09,,23.356,,,,,,21.97,21.538,21.729,,,,,,
2007-05-10,,24.034,,,,,,22.67,22.245,22.752,,,,,,
2007-05-11,,24.175,,,,,,22.511,21.949,22.474,,,,,,
2007-05-12,,24.76,,,,,,22.938,22.48,22.825,,,,,,
2007-05-13,,25.181,,,,,,23.473,22.866,23.865,,,,,,
2007-05-14,,24.725,,,,,,23.137,22.671,23.616,,,,,,
2007-05-15,,24.57,,,,,,23.111,22.497,23.387,,,,,,
2007-05-16,,25.237,,,,,,23.406,22.797,23.627,,,,,,
2007-05-17,,24.982,,,,,,23.187,22.634,23.386,,,,,,
2007-05-18,,25.151,,,,,,23.514,22.947,23.783,,,,,,
2007-05-19,,25.267,,,,,,23.587,22.903,23.801,,,,,,
2007-05-20,,24.449,,,,,,23.01,22.672,23.414,,,,,,
2007-05-21,,23.931,,,,,,22.714,22.38,22.99,,,,,,
2007-05-22,,23.702,,,,,,22.515,22.159,22.51,,,,,,
