uin,incident_year,state,site_category,shark_common_name,shark_scientific_name,provoked_unprovoked,victim_activity
1192,2022,QLD,ocean/pelagic,tiger shark,Galeocerdo cuvier ,unprovoked,other:floating
1193,2022,WA,coastal,white shark,Carcharodon carcharias ,unprovoked,other:floating
1194,2022,NSW,coastal,wobbegong,Orectolobidae,unprovoked,diving
1195,2022,NSW,coastal,wobbegong,Orectolobidae,unprovoked,swimming
1196,2022,NSW,coastal,NA,NA,unprovoked,boarding
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
