uin,incident_year,state,site_category,shark_common_name,shark_scientific_name,provoked_unprovoked,victim_activity
944,2012,WA,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
945,2012,NSW,coastal,bull shark,Carcharhinus leucas,unprovoked,boarding
946,2012,NSW,estuary/harbour,grey nurse shark,Carcharius taurus,provoked,spearfishing
947,2012,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
948,2013,WA,island open ocean,whaler shark,Carcharhinidae,provoked,spearfishing
949,2013,QLD,coastal,tiger shark,Galeocerdo cuvier ,unprovoked,boarding
950,2013,WA,coastal,bronze whaler shark,Carcharhinus brachyurus,provoked,spearfishing
951,2013,NSW,coastal,wobbegong,Orectolobidae,provoked,swimming
952,2013,WA,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
953,2013,NSW,coastal,wobbegong,Orectolobidae,provoked,swimming
954,2013,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
955,2013,VIC,coastal,white shark,Carcharodon carcharias ,unprovoked,swimming
956,2013,NSW,coastal,wobbegong,Orectolobidae,provoked,boarding
957,2013,WA,coastal,grey reef shark,Carcharhinus amblyrhynchos,unprovoked,snorkelling
958,2013,WA,ocean/pelagic,white shark,Carcharodon carcharias ,provoked,diving
959,2013,NSW,coastal,tiger shark,Galeocerdo cuvier ,unprovoked,boarding
960,2013,WA,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
961,2013,QLD,coastal,wobbegong,Orectolobidae,unprovoked,diving
962,2013,NSW,coastal,wobbegong,Orectolobidae,unprovoked,boarding
963,2014,SA,coastal,white shark,Carcharodon carcharias ,provoked,spearfishing
964,2014,WA,coastal,white shark,Carcharodon carcharias ,provoked,spearfishing
965,2014,VIC,island open ocean,white shark,Carcharodon carcharias ,unprovoked,boarding
966,2014,NSW,coastal,wobbegong,Orectolobidae,provoked,swimming
967,2014,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,swimming
968,2014,WA,ocean/pelagic,whaler shark,Carcharhinidae,provoked,spearfishing
969,2014,SA,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
970,2014,QLD,river,bull shark,Carcharhinus leucas,unprovoked,swimming
971,2014,SA,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
972,2014,NSW,coastal,wobbegong,Orectolobidae,provoked,boarding
973,2014,SA,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
974,2014,SA,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
975,2014,WA,coastal,whaler shark,Carcharhinidae,provoked,spearfishing
976,2014,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,snorkelling
977,2014,NSW,coastal,wobbegong,Orectolobidae,unprovoked,swimming
978,2014,NSW,coastal,wobbegong,Orectolobidae,provoked,boarding
979,2014,NSW,coastal,wobbegong,Orectolobidae,provoked,boarding
980,2014,WA,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
981,2014,NSW,coastal,wobbegong,Orectolobidae,provoked,swimming
982,2014,NSW,coastal,wobbegong,Orectolobidae,provoked,snorkelling
983,2014,NSW,coastal,wobbegong,Orectolobidae,unprovoked,swimming
984,2014,WA,coastal,bronze whaler shark,Carcharhinus brachyurus,unprovoked,boarding
985,2014,NSW,coastal,NA,NA,unprovoked,boarding
986,2014,WA,coastal,white shark,Carcharodon carcharias ,provoked,spearfishing
987,2014,QLD,island open ocean,tiger shark,Galeocerdo cuvier ,provoked,spearfishing
988,2015,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
989,2015,NSW,coastal,wobbegong,Orectolobidae,provoked,other: standing in water
990,2015,QLD,river,bull shark,Carcharhinus leucas,unprovoked,unmotorised boating
991,2015,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
992,2015,NSW,coastal,bronze whaler shark,Carcharhinus brachyurus,provoked,spearfishing
993,2015,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
994,2015,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
995,2015,NSW,coastal,wobbegong,Orectolobidae,unprovoked,swimming
996,2015,NSW,estuary/harbour,galapagos shark,Carcharhinus galapagensis,provoked,swimming
997,2015,NSW,coastal,galapagos shark,Carcharhinus galapagensis,provoked,swimming
998,2015,NSW,coastal,wobbegong,Orectolobidae,provoked,boarding
999,2015,SA,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1000,2015,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1001,2015,WA,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1002,2015,WA,island open ocean,wobbegong,Orectolobidae,provoked,swimming
1003,2015,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1004,2015,NSW,coastal,tiger shark,Galeocerdo cuvier ,provoked,spearfishing
1005,2015,QLD,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1006,2015,TAS,coastal,white shark,Carcharodon carcharias ,provoked,diving
1007,2015,TAS,estuary/harbour,white shark,Carcharodon carcharias ,provoked,diving
1008,2015,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1009,2015,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1010,2015,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1011,2015,VIC,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1012,2015,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1013,2015,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1014,2015,QLD,island open ocean,tiger shark,Galeocerdo cuvier ,unprovoked,boarding
1015,2015,NSW,coastal,NA,NA,provoked,boarding
1016,2015,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1017,2015,QLD,island open ocean,NA,NA,unprovoked,snorkelling
1018,2015,WA,coastal,white shark,Carcharodon carcharias ,provoked,spearfishing
1019,2015,WA,coastal,grey nurse shark,Carcharius taurus,unprovoked,boarding
1020,2015,NSW,coastal,bull shark,Carcharhinus leucas,unprovoked,boarding
1021,2016,QLD,coastal,wobbegong,Orectolobidae,provoked,boarding
1022,2016,QLD,island open ocean,blacktip reef shark,Carcharhinus melanopterus,unprovoked,swimming
1023,2016,QLD,coastal,tiger shark,Galeocerdo cuvier ,provoked,spearfishing
1024,2016,NSW,island open ocean,white shark,Carcharodon carcharias ,unprovoked,boarding
1025,2016,NSW,coastal,wobbegong,Orectolobidae,provoked,spearfishing
1026,2016,TAS,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1027,2016,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1028,2016,SA,coastal,bronze whaler shark,Carcharhinus brachyurus,provoked,fishing
1029,2016,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1030,2016,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1031,2016,NSW,coastal,wobbegong,Orectolobidae,provoked,swimming
1032,2016,WA,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1033,2016,NSW,coastal,bronze whaler shark,Carcharhinus brachyurus,provoked,spearfishing
1034,2016,WA,ocean/pelagic,white shark,Carcharodon carcharias ,unprovoked,diving
1035,2016,WA,ocean/pelagic,grey reef shark,Carcharhinus amblyrhynchos,provoked,spearfishing
1036,2016,NSW,coastal,NA,NA,unprovoked,boarding
1037,2016,NSW,coastal,bronze whaler shark,Carcharhinus brachyurus,provoked,spearfishing
1038,2016,NSW,coastal,NA,NA,provoked,spearfishing
1039,2016,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1040,2016,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1041,2016,VIC,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1042,2016,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1043,2016,WA,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1044,2016,QLD,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1045,2016,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1046,2016,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1047,2016,QLD,coastal,lemon shark,Negaprion brevirostris,provoked,swimming
1048,2016,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1049,2016,QLD,river,bull shark,Carcharhinus leucas,provoked,spearfishing
1050,2016,WA,coastal,whaler shark,Carcharhinidae,unprovoked,snorkelling
1051,2016,WA,coastal,NA,NA,unprovoked,snorkelling
1052,2017,QLD,island open ocean,whaler shark,Carcharhinidae,unprovoked,snorkelling
1053,2017,NSW,estuary/harbour,wobbegong,Orectolobidae,provoked,swimming
1054,2017,QLD,coastal,NA,NA,unprovoked,swimming
1055,2017,QLD,coastal,whaler shark,Carcharhinidae,provoked,spearfishing
1056,2017,WA,coastal,NA,NA,unprovoked,boarding
1057,2017,QLD,island open ocean,tiger shark,Galeocerdo cuvier ,unprovoked,snorkelling
1058,2017,WA,coastal,bull shark,Carcharhinus leucas,unprovoked,snorkelling
1059,2017,NSW,coastal,NA,NA,unprovoked,boarding
1060,2017,QLD,coastal,NA,NA,unprovoked,unmotorised boating
1061,2017,NSW,coastal,grey nurse shark,Carcharius taurus,provoked,boarding
1062,2017,WA,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1063,2017,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1064,2017,WA,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1065,2017,VIC,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1066,2017,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1067,2017,WA,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1068,2017,WA,estuary/harbour,whaler shark,Carcharhinidae,unprovoked,swimming
1069,2017,SA,coastal,white shark,Carcharodon carcharias ,unprovoked,unmotorised boating
1070,2017,NSW,coastal,wobbegong,Orectolobidae,provoked,boarding
1071,2017,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1072,2017,NSW,coastal,grey nurse shark,Carcharius taurus,unprovoked,boarding
1073,2018,WA,other: fish farm,bull shark,Carcharhinus leucas,provoked,swimming
1074,2018,NSW,island open ocean,white shark,Carcharodon carcharias ,unprovoked,snorkelling
