year,park,month,visits
2013,cnps,nov,13638
2013,cnps,dec,14332
2012,cnps,jan,15786
2012,cnps,feb,17918
2012,cnps,mar,20902
2012,cnps,apr,19663
2012,cnps,may,24524
2012,cnps,jun,29404
2012,cnps,jul,36269
2012,cnps,aug,33227
2012,cnps,sep,24867
2012,cnps,oct,19904
2012,cnps,nov,4999
2012,cnps,dec,2131
2011,cnps,jan,14343
2011,cnps,feb,5384
2011,cnps,mar,16432
2011,cnps,apr,24939
2011,cnps,may,20563
2011,cnps,jun,27136
2011,cnps,jul,38637
2011,cnps,aug,30872
2011,cnps,sep,21264
2011,cnps,oct,19337
2011,cnps,nov,11667
2011,cnps,dec,12182
2010,cnps,jan,19213
2010,cnps,feb,23044
2010,cnps,mar,24377
2010,cnps,apr,22903
2010,cnps,may,26806
2010,cnps,jun,27992
2010,cnps,jul,29118
2010,cnps,aug,32454
2010,cnps,sep,22813
2010,cnps,oct,16520
2010,cnps,nov,19691
2010,cnps,dec,12584
2009,cnps,jan,17352
2009,cnps,feb,24320
2009,cnps,mar,35244
2009,cnps,apr,36596
2009,cnps,may,39758
2009,cnps,jun,29663
2009,cnps,jul,42749
2009,cnps,aug,46835
2009,cnps,sep,29820
2009,cnps,oct,19619
2009,cnps,nov,14275
2009,cnps,dec,12514
2008,cnps,jan,13861
2008,cnps,feb,19698
2008,cnps,mar,30885
2008,cnps,apr,29361
2008,cnps,may,22006
2008,cnps,jun,36709
2008,cnps,jul,46116
2008,cnps,aug,46593
2008,cnps,sep,30425
2008,cnps,oct,23139
2008,cnps,nov,18847
2008,cnps,dec,14537
2007,cnps,jan,16087
2007,cnps,feb,23541
2007,cnps,mar,38890
2007,cnps,apr,35241
2007,cnps,may,30366
2007,cnps,jun,37646
2007,cnps,jul,43741
2007,cnps,aug,43895
2007,cnps,sep,36658
2007,cnps,oct,21340
2007,cnps,nov,16468
2007,cnps,dec,16933
2006,cnps,jan,16009
2006,cnps,feb,22396
2006,cnps,mar,30129
2006,cnps,apr,35366
2006,cnps,may,32466
2006,cnps,jun,39562
2006,cnps,jul,50276
2006,cnps,aug,51456
2006,cnps,sep,36954
2006,cnps,oct,23665
2006,cnps,nov,21689
2006,cnps,dec,15288
2005,cnps,jan,19573
2005,cnps,feb,21574
2005,cnps,mar,41489
2005,cnps,apr,40623
2005,cnps,may,38757
2005,cnps,jun,61422
2005,cnps,jul,64849
2005,cnps,aug,52469
2005,cnps,sep,42447
2005,cnps,oct,28700
2005,cnps,nov,22204
2005,cnps,dec,NA
2004,cnps,jan,37978
2004,cnps,feb,30637
2004,cnps,mar,40684
2004,cnps,apr,56831
2004,cnps,may,61310
2004,cnps,jun,58033
2004,cnps,jul,62994
2004,cnps,aug,79304
2004,cnps,sep,61629
2004,cnps,oct,26026
2004,cnps,nov,13107
2004,cnps,dec,9183
2024,jtnp,jan,251664
2024,jtnp,feb,283582
2024,jtnp,mar,401378
2024,jtnp,apr,343806
2024,jtnp,may,259803
2024,jtnp,jun,171606
2024,jtnp,jul,123786
2024,jtnp,aug,143049
2024,jtnp,sep,157399
2024,jtnp,oct,212097
2024,jtnp,nov,301653
2024,jtnp,dec,342051
2023,jtnp,jan,285621
2023,jtnp,feb,303933
2023,jtnp,mar,434257
2023,jtnp,apr,390555
2023,jtnp,may,263984
